urn:cts:TraveLab:BT:en:Adler:token:1.1	These
urn:cts:TraveLab:BT:en:Adler:token:138.8	of
urn:cts:TraveLab:BT:en:Adler:token:138.9	Ararat
urn:cts:TraveLab:BT:en:Adler:token:138.10	.
urn:cts:TraveLab:BT:en:Adler:token:138.11	38
urn:cts:TraveLab:BT:en:Adler:token:139.1	There
urn:cts:TraveLab:BT:en:Adler:token:139.2	are
urn:cts:TraveLab:BT:en:Adler:token:139.3	few
urn:cts:TraveLab:BT:en:Adler:token:139.4	Jews
urn:cts:TraveLab:BT:en:Adler:token:139.5	there
urn:cts:TraveLab:BT:en:Adler:token:139.6	.
urn:cts:TraveLab:BT:en:Adler:token:140.1	In
urn:cts:TraveLab:BT:en:Adler:token:140.2	ancient
urn:cts:TraveLab:BT:en:Adler:token:140.3	times
urn:cts:TraveLab:BT:en:Adler:token:140.4	many
urn:cts:TraveLab:BT:en:Adler:token:140.5	Jews
urn:cts:TraveLab:BT:en:Adler:token:140.6	lived
urn:cts:TraveLab:BT:en:Adler:token:140.7	there
urn:cts:TraveLab:BT:en:Adler:token:140.8	.
urn:cts:TraveLab:BT:en:Adler:token:141.1	However
urn:cts:TraveLab:BT:en:Adler:token:141.2	they
urn:cts:TraveLab:BT:en:Adler:token:141.3	slew
urn:cts:TraveLab:BT:en:Adler:token:141.4	each
urn:cts:TraveLab:BT:en:Adler:token:141.5	other
urn:cts:TraveLab:BT:en:Adler:token:141.6	and
urn:cts:TraveLab:BT:en:Adler:token:141.7	separated
urn:cts:TraveLab:BT:en:Adler:token:141.8	,
urn:cts:TraveLab:BT:en:Adler:token:141.9	and
urn:cts:TraveLab:BT:en:Adler:token:141.10	went
urn:cts:TraveLab:BT:en:Adler:token:141.11	to
urn:cts:TraveLab:BT:en:Adler:token:141.12	the
urn:cts:TraveLab:BT:en:Adler:token:141.13	cities
urn:cts:TraveLab:BT:en:Adler:token:141.14	of
urn:cts:TraveLab:BT:en:Adler:token:141.15	Babel
urn:cts:TraveLab:BT:en:Adler:token:141.16	,
urn:cts:TraveLab:BT:en:Adler:token:141.17	Media
urn:cts:TraveLab:BT:en:Adler:token:141.18	,
urn:cts:TraveLab:BT:en:Adler:token:141.19	and
urn:cts:TraveLab:BT:en:Adler:token:141.20	Persia
urn:cts:TraveLab:BT:en:Adler:token:141.21	.
urn:cts:TraveLab:BT:en:Adler:token:141.22	39
urn:cts:TraveLab:BT:en:Adler:token:142.1	But
urn:cts:TraveLab:BT:en:Adler:token:142.2	in
urn:cts:TraveLab:BT:en:Adler:token:142.3	the
urn:cts:TraveLab:BT:en:Adler:token:142.4	land
urn:cts:TraveLab:BT:en:Adler:token:142.5	of
urn:cts:TraveLab:BT:en:Adler:token:142.6	Cush
	40
urn:cts:TraveLab:BT:en:Adler:token:142.8	and
urn:cts:TraveLab:BT:en:Adler:token:142.9	Babel
urn:cts:TraveLab:BT:en:Adler:token:142.10	there
urn:cts:TraveLab:BT:en:Adler:token:142.11	are
urn:cts:TraveLab:BT:en:Adler:token:142.12	more
urn:cts:TraveLab:BT:en:Adler:token:142.13	than
urn:cts:TraveLab:BT:en:Adler:token:142.14	sixty
urn:cts:TraveLab:BT:en:Adler:token:142.15	myriads
urn:cts:TraveLab:BT:en:Adler:token:142.16	of
urn:cts:TraveLab:BT:en:Adler:token:142.17	Jews
urn:cts:TraveLab:BT:en:Adler:token:142.18	;
urn:cts:TraveLab:BT:en:Adler:token:142.19	as
urn:cts:TraveLab:BT:en:Adler:token:142.20	many
urn:cts:TraveLab:BT:en:Adler:token:142.21	are
urn:cts:TraveLab:BT:en:Adler:token:142.22	in
urn:cts:TraveLab:BT:en:Adler:token:142.23	the
urn:cts:TraveLab:BT:en:Adler:token:142.24	land
urn:cts:TraveLab:BT:en:Adler:token:142.25	of
urn:cts:TraveLab:BT:en:Adler:token:142.26	Persia
urn:cts:TraveLab:BT:en:Adler:token:142.27	.
urn:cts:TraveLab:BT:en:Adler:token:143.1	But
urn:cts:TraveLab:BT:en:Adler:token:143.2	in
urn:cts:TraveLab:BT:en:Adler:token:143.3	Persia
urn:cts:TraveLab:BT:en:Adler:token:143.4	the
urn:cts:TraveLab:BT:en:Adler:token:143.5	Jews
urn:cts:TraveLab:BT:en:Adler:token:143.6	are
urn:cts:TraveLab:BT:en:Adler:token:143.7	subject
urn:cts:TraveLab:BT:en:Adler:token:143.8	to
urn:cts:TraveLab:BT:en:Adler:token:143.9	hard
urn:cts:TraveLab:BT:en:Adler:token:143.10	bondage
urn:cts:TraveLab:BT:en:Adler:token:143.11	and
urn:cts:TraveLab:BT:en:Adler:token:143.12	sufferings
urn:cts:TraveLab:BT:en:Adler:token:143.13	.
urn:cts:TraveLab:BT:en:Adler:token:144.1	Therefore
urn:cts:TraveLab:BT:en:Adler:token:144.2	Rabbi
urn:cts:TraveLab:BT:en:Adler:token:144.3	Petachia
urn:cts:TraveLab:BT:en:Adler:token:144.4	visited
urn:cts:TraveLab:BT:en:Adler:token:144.5	only
urn:cts:TraveLab:BT:en:Adler:token:144.6	one
urn:cts:TraveLab:BT:en:Adler:token:144.7	city
urn:cts:TraveLab:BT:en:Adler:token:144.8	in
urn:cts:TraveLab:BT:en:Adler:token:144.9	Persia
urn:cts:TraveLab:BT:en:Adler:token:144.10	.
urn:cts:TraveLab:BT:en:Adler:token:145.1	Every
urn:cts:TraveLab:BT:en:Adler:token:145.2	Jew
urn:cts:TraveLab:BT:en:Adler:token:145.3	in
urn:cts:TraveLab:BT:en:Adler:token:145.4	Babel
urn:cts:TraveLab:BT:en:Adler:token:145.5	pays
urn:cts:TraveLab:BT:en:Adler:token:145.6	a
urn:cts:TraveLab:BT:en:Adler:token:145.7	gold
urn:cts:TraveLab:BT:en:Adler:token:145.8	florin
urn:cts:TraveLab:BT:en:Adler:token:145.9	annually
urn:cts:TraveLab:BT:en:Adler:token:145.10	to
urn:cts:TraveLab:BT:en:Adler:token:145.11	the
urn:cts:TraveLab:BT:en:Adler:token:145.12	head
urn:cts:TraveLab:BT:en:Adler:token:145.13	of
urn:cts:TraveLab:BT:en:Adler:token:145.14	the
urn:cts:TraveLab:BT:en:Adler:token:145.15	academy
urn:cts:TraveLab:BT:en:Adler:token:145.16	,
urn:cts:TraveLab:BT:en:Adler:token:145.17	as
urn:cts:TraveLab:BT:en:Adler:token:145.18	a
urn:cts:TraveLab:BT:en:Adler:token:145.19	poll-tax
urn:cts:TraveLab:BT:en:Adler:token:145.20	.
urn:cts:TraveLab:BT:en:Adler:token:146.1	For
urn:cts:TraveLab:BT:en:Adler:token:146.2	the
urn:cts:TraveLab:BT:en:Adler:token:146.3	monarch
urn:cts:TraveLab:BT:en:Adler:token:146.4	requires
urn:cts:TraveLab:BT:en:Adler:token:146.5	no
urn:cts:TraveLab:BT:en:Adler:token:146.6	taxes
urn:cts:TraveLab:BT:en:Adler:token:146.7	,
urn:cts:TraveLab:BT:en:Adler:token:146.8	but
urn:cts:TraveLab:BT:en:Adler:token:146.9	only
urn:cts:TraveLab:BT:en:Adler:token:146.10	the
urn:cts:TraveLab:BT:en:Adler:token:146.11	head
urn:cts:TraveLab:BT:en:Adler:token:146.12	of
urn:cts:TraveLab:BT:en:Adler:token:146.13	the
urn:cts:TraveLab:BT:en:Adler:token:146.14	academy
urn:cts:TraveLab:BT:en:Adler:token:146.15	.
urn:cts:TraveLab:BT:en:Adler:token:147.1	The
urn:cts:TraveLab:BT:en:Adler:token:147.2	Jews
urn:cts:TraveLab:BT:en:Adler:token:147.3	in
urn:cts:TraveLab:BT:en:Adler:token:147.4	the
urn:cts:TraveLab:BT:en:Adler:token:147.5	land
urn:cts:TraveLab:BT:en:Adler:token:147.6	of
urn:cts:TraveLab:BT:en:Adler:token:147.7	Babel
urn:cts:TraveLab:BT:en:Adler:token:147.8	live
urn:cts:TraveLab:BT:en:Adler:token:147.9	in
urn:cts:TraveLab:BT:en:Adler:token:147.10	peace
urn:cts:TraveLab:BT:en:Adler:token:147.11	.
urn:cts:TraveLab:BT:en:Adler:token:148.1	The
urn:cts:TraveLab:BT:en:Adler:token:148.2	monarch
urn:cts:TraveLab:BT:en:Adler:token:148.3	who
urn:cts:TraveLab:BT:en:Adler:token:148.4	reigned
urn:cts:TraveLab:BT:en:Adler:token:148.5	in
urn:cts:TraveLab:BT:en:Adler:token:148.6	the
urn:cts:TraveLab:BT:en:Adler:token:148.7	days
urn:cts:TraveLab:BT:en:Adler:token:148.8	of
urn:cts:TraveLab:BT:en:Adler:token:148.9	Rabbi
urn:cts:TraveLab:BT:en:Adler:token:148.10	Shelomoh
urn:cts:TraveLab:BT:en:Adler:token:148.11	,
urn:cts:TraveLab:BT:en:Adler:token:148.12	father
urn:cts:TraveLab:BT:en:Adler:token:148.13	of
urn:cts:TraveLab:BT:en:Adler:token:148.14	Rabbi
urn:cts:TraveLab:BT:en:Adler:token:148.15	Daniel
urn:cts:TraveLab:BT:en:Adler:token:148.16	,
urn:cts:TraveLab:BT:en:Adler:token:148.17	was
urn:cts:TraveLab:BT:en:Adler:token:148.18	a
urn:cts:TraveLab:BT:en:Adler:token:148.19	friend
urn:cts:TraveLab:BT:en:Adler:token:148.20	of
urn:cts:TraveLab:BT:en:Adler:token:148.21	Rabbi
urn:cts:TraveLab:BT:en:Adler:token:148.22	Shelomoh
urn:cts:TraveLab:BT:en:Adler:token:148.23	,
urn:cts:TraveLab:BT:en:Adler:token:148.24	because
urn:cts:TraveLab:BT:en:Adler:token:148.25	the
urn:cts:TraveLab:BT:en:Adler:token:148.26	monarch
urn:cts:TraveLab:BT:en:Adler:token:148.27	was
urn:cts:TraveLab:BT:en:Adler:token:148.28	of
urn:cts:TraveLab:BT:en:Adler:token:148.29	the
urn:cts:TraveLab:BT:en:Adler:token:148.30	seed
urn:cts:TraveLab:BT:en:Adler:token:148.31	of
urn:cts:TraveLab:BT:en:Adler:token:148.32	Mahomet
urn:cts:TraveLab:BT:en:Adler:token:148.33	,
urn:cts:TraveLab:BT:en:Adler:token:148.34	and
urn:cts:TraveLab:BT:en:Adler:token:148.35	the
urn:cts:TraveLab:BT:en:Adler:token:148.36	head
urn:cts:TraveLab:BT:en:Adler:token:148.37	of
urn:cts:TraveLab:BT:en:Adler:token:148.38	the
urn:cts:TraveLab:BT:en:Adler:token:148.39	captivity
urn:cts:TraveLab:BT:en:Adler:token:148.40	descended
urn:cts:TraveLab:BT:en:Adler:token:148.41	from
urn:cts:TraveLab:BT:en:Adler:token:148.42	King
urn:cts:TraveLab:BT:en:Adler:token:148.43	David
urn:cts:TraveLab:BT:en:Adler:token:148.44	.
urn:cts:TraveLab:BT:en:Adler:token:149.1	And
urn:cts:TraveLab:BT:en:Adler:token:149.2	he
urn:cts:TraveLab:BT:en:Adler:token:149.3	said
urn:cts:TraveLab:BT:en:Adler:token:149.4	to
urn:cts:TraveLab:BT:en:Adler:token:149.5	Rabbi
urn:cts:TraveLab:BT:en:Adler:token:149.6	Shelomoh
urn:cts:TraveLab:BT:en:Adler:token:149.7	that
urn:cts:TraveLab:BT:en:Adler:token:149.8	he
urn:cts:TraveLab:BT:en:Adler:token:149.9	wished
urn:cts:TraveLab:BT:en:Adler:token:149.10	to
urn:cts:TraveLab:BT:en:Adler:token:149.11	see
urn:cts:TraveLab:BT:en:Adler:token:149.12	the
urn:cts:TraveLab:BT:en:Adler:token:149.13	prophet
urn:cts:TraveLab:BT:en:Adler:token:149.14	Ezekiel
urn:cts:TraveLab:BT:en:Adler:token:149.15	,
urn:cts:TraveLab:BT:en:Adler:token:149.16	who
urn:cts:TraveLab:BT:en:Adler:token:149.17	performed
urn:cts:TraveLab:BT:en:Adler:token:149.18	miracles
urn:cts:TraveLab:BT:en:Adler:token:149.19	.
urn:cts:TraveLab:BT:en:Adler:token:150.1	And
urn:cts:TraveLab:BT:en:Adler:token:150.2	Rabbi
urn:cts:TraveLab:BT:en:Adler:token:150.3	Shelomoh
urn:cts:TraveLab:BT:en:Adler:token:150.4	said
urn:cts:TraveLab:BT:en:Adler:token:150.5	to
urn:cts:TraveLab:BT:en:Adler:token:150.6	him
urn:cts:TraveLab:BT:en:Adler:token:150.7	,
urn:cts:TraveLab:BT:en:Adler:token:150.8	Thou
urn:cts:TraveLab:BT:en:Adler:token:150.9	canst
urn:cts:TraveLab:BT:en:Adler:token:150.10	not
urn:cts:TraveLab:BT:en:Adler:token:150.11	see
urn:cts:TraveLab:BT:en:Adler:token:150.12	him
urn:cts:TraveLab:BT:en:Adler:token:150.13	,
urn:cts:TraveLab:BT:en:Adler:token:150.14	for
urn:cts:TraveLab:BT:en:Adler:token:150.15	he
urn:cts:TraveLab:BT:en:Adler:token:150.16	is
urn:cts:TraveLab:BT:en:Adler:token:150.17	holy
urn:cts:TraveLab:BT:en:Adler:token:150.18	,
urn:cts:TraveLab:BT:en:Adler:token:150.19	nor
urn:cts:TraveLab:BT:en:Adler:token:150.20	must
urn:cts:TraveLab:BT:en:Adler:token:150.21	thou
urn:cts:TraveLab:BT:en:Adler:token:150.22	uncover
urn:cts:TraveLab:BT:en:Adler:token:150.23	his
urn:cts:TraveLab:BT:en:Adler:token:150.24	grave
urn:cts:TraveLab:BT:en:Adler:token:150.25	.
urn:cts:TraveLab:BT:en:Adler:token:151.1	The
urn:cts:TraveLab:BT:en:Adler:token:151.2	monarch
urn:cts:TraveLab:BT:en:Adler:token:151.3	replied
urn:cts:TraveLab:BT:en:Adler:token:151.4	that
urn:cts:TraveLab:BT:en:Adler:token:151.5	he
urn:cts:TraveLab:BT:en:Adler:token:151.6	would
urn:cts:TraveLab:BT:en:Adler:token:151.7	explore
urn:cts:TraveLab:BT:en:Adler:token:151.8	it
urn:cts:TraveLab:BT:en:Adler:token:151.9	.
urn:cts:TraveLab:BT:en:Adler:token:152.1	Then
urn:cts:TraveLab:BT:en:Adler:token:152.2	Rabbi
urn:cts:TraveLab:BT:en:Adler:token:152.3	Shelomoh
urn:cts:TraveLab:BT:en:Adler:token:152.4	and
urn:cts:TraveLab:BT:en:Adler:token:152.5	the
urn:cts:TraveLab:BT:en:Adler:token:152.6	elders
urn:cts:TraveLab:BT:en:Adler:token:152.7	said
urn:cts:TraveLab:BT:en:Adler:token:152.8	to
urn:cts:TraveLab:BT:en:Adler:token:152.9	him
urn:cts:TraveLab:BT:en:Adler:token:152.10	,
urn:cts:TraveLab:BT:en:Adler:token:152.11	My
urn:cts:TraveLab:BT:en:Adler:token:152.12	lord
urn:cts:TraveLab:BT:en:Adler:token:152.13	and
urn:cts:TraveLab:BT:en:Adler:token:152.14	king
urn:cts:TraveLab:BT:en:Adler:token:152.15	,
urn:cts:TraveLab:BT:en:Adler:token:152.16	Baruch
urn:cts:TraveLab:BT:en:Adler:token:152.17	,
urn:cts:TraveLab:BT:en:Adler:token:152.18	son
urn:cts:TraveLab:BT:en:Adler:token:152.19	of
urn:cts:TraveLab:BT:en:Adler:token:152.20	Neriah
urn:cts:TraveLab:BT:en:Adler:token:152.21	,
urn:cts:TraveLab:BT:en:Adler:token:152.22	his
urn:cts:TraveLab:BT:en:Adler:token:152.23	disciple
urn:cts:TraveLab:BT:en:Adler:token:152.24	,
urn:cts:TraveLab:BT:en:Adler:token:152.25	41
urn:cts:TraveLab:BT:en:Adler:token:152.26	is
urn:cts:TraveLab:BT:en:Adler:token:152.27	buried
urn:cts:TraveLab:BT:en:Adler:token:152.28	near
urn:cts:TraveLab:BT:en:Adler:token:152.29	the
urn:cts:TraveLab:BT:en:Adler:token:152.30	enclosure
urn:cts:TraveLab:BT:en:Adler:token:152.31	of
urn:cts:TraveLab:BT:en:Adler:token:152.32	the
urn:cts:TraveLab:BT:en:Adler:token:152.33	prophet
urn:cts:TraveLab:BT:en:Adler:token:152.34	.
urn:cts:TraveLab:BT:en:Adler:token:153.1	If
urn:cts:TraveLab:BT:en:Adler:token:153.2	it
urn:cts:TraveLab:BT:en:Adler:token:153.3	be
urn:cts:TraveLab:BT:en:Adler:token:153.4	thy
urn:cts:TraveLab:BT:en:Adler:token:153.5	will
urn:cts:TraveLab:BT:en:Adler:token:153.6	uncover
urn:cts:TraveLab:BT:en:Adler:token:153.7	his
urn:cts:TraveLab:BT:en:Adler:token:153.8	grave
urn:cts:TraveLab:BT:en:Adler:token:153.9	.
urn:cts:TraveLab:BT:en:Adler:token:154.1	If
urn:cts:TraveLab:BT:en:Adler:token:154.2	thou
urn:cts:TraveLab:BT:en:Adler:token:154.3	canst
urn:cts:TraveLab:BT:en:Adler:token:154.4	see
urn:cts:TraveLab:BT:en:Adler:token:154.5	his
urn:cts:TraveLab:BT:en:Adler:token:154.6	disciple
urn:cts:TraveLab:BT:en:Adler:token:154.7	then
urn:cts:TraveLab:BT:en:Adler:token:154.8	thou
urn:cts:TraveLab:BT:en:Adler:token:154.9	mayest
urn:cts:TraveLab:BT:en:Adler:token:154.10	try
urn:cts:TraveLab:BT:en:Adler:token:154.11	to
urn:cts:TraveLab:BT:en:Adler:token:154.12	see
urn:cts:TraveLab:BT:en:Adler:token:154.13	his
urn:cts:TraveLab:BT:en:Adler:token:154.14	master
urn:cts:TraveLab:BT:en:Adler:token:154.15	.
urn:cts:TraveLab:BT:en:Adler:token:155.1	He
urn:cts:TraveLab:BT:en:Adler:token:155.2	then
urn:cts:TraveLab:BT:en:Adler:token:155.3	assembled
urn:cts:TraveLab:BT:en:Adler:token:155.4	all
urn:cts:TraveLab:BT:en:Adler:token:155.5	the
urn:cts:TraveLab:BT:en:Adler:token:155.6	princes
urn:cts:TraveLab:BT:en:Adler:token:155.7	,
urn:cts:TraveLab:BT:en:Adler:token:155.8	and
urn:cts:TraveLab:BT:en:Adler:token:155.9	commanded
urn:cts:TraveLab:BT:en:Adler:token:155.10	them
urn:cts:TraveLab:BT:en:Adler:token:155.11	to
urn:cts:TraveLab:BT:en:Adler:token:155.12	dig
urn:cts:TraveLab:BT:en:Adler:token:155.13	.
urn:cts:TraveLab:BT:en:Adler:token:156.1	But
urn:cts:TraveLab:BT:en:Adler:token:156.2	every
urn:cts:TraveLab:BT:en:Adler:token:156.3	one
urn:cts:TraveLab:BT:en:Adler:token:156.4	that
urn:cts:TraveLab:BT:en:Adler:token:156.5	dug
urn:cts:TraveLab:BT:en:Adler:token:156.6	into
urn:cts:TraveLab:BT:en:Adler:token:156.7	the
urn:cts:TraveLab:BT:en:Adler:token:156.8	grave
urn:cts:TraveLab:BT:en:Adler:token:156.9	of
urn:cts:TraveLab:BT:en:Adler:token:156.10	Baruch
urn:cts:TraveLab:BT:en:Adler:token:156.11	,
urn:cts:TraveLab:BT:en:Adler:token:156.12	son
urn:cts:TraveLab:BT:en:Adler:token:156.13	of
urn:cts:TraveLab:BT:en:Adler:token:156.14	Neriah
urn:cts:TraveLab:BT:en:Adler:token:156.15	,
urn:cts:TraveLab:BT:en:Adler:token:156.16	fell
urn:cts:TraveLab:BT:en:Adler:token:156.17	down
urn:cts:TraveLab:BT:en:Adler:token:156.18	immediately
urn:cts:TraveLab:BT:en:Adler:token:156.19	and
urn:cts:TraveLab:BT:en:Adler:token:156.20	died
urn:cts:TraveLab:BT:en:Adler:token:156.21	.
urn:cts:TraveLab:BT:en:Adler:token:157.1	There
urn:cts:TraveLab:BT:en:Adler:token:157.2	was
urn:cts:TraveLab:BT:en:Adler:token:157.3	there
urn:cts:TraveLab:BT:en:Adler:token:157.4	an
urn:cts:TraveLab:BT:en:Adler:token:157.5	old
urn:cts:TraveLab:BT:en:Adler:token:157.6	man
urn:cts:TraveLab:BT:en:Adler:token:157.7	,
urn:cts:TraveLab:BT:en:Adler:token:157.8	an
urn:cts:TraveLab:BT:en:Adler:token:157.9	Ishmaelite
urn:cts:TraveLab:BT:en:Adler:token:157.10	,
urn:cts:TraveLab:BT:en:Adler:token:157.11	who
urn:cts:TraveLab:BT:en:Adler:token:157.12	said
urn:cts:TraveLab:BT:en:Adler:token:157.13	to
urn:cts:TraveLab:BT:en:Adler:token:157.14	the
urn:cts:TraveLab:BT:en:Adler:token:157.15	monarch
urn:cts:TraveLab:BT:en:Adler:token:157.16	,
urn:cts:TraveLab:BT:en:Adler:token:157.17	Tell
urn:cts:TraveLab:BT:en:Adler:token:157.18	the
urn:cts:TraveLab:BT:en:Adler:token:157.19	Jews
urn:cts:TraveLab:BT:en:Adler:token:157.20	that
urn:cts:TraveLab:BT:en:Adler:token:157.21	they
urn:cts:TraveLab:BT:en:Adler:token:157.22	should
urn:cts:TraveLab:BT:en:Adler:token:157.23	dig
urn:cts:TraveLab:BT:en:Adler:token:157.24	.
urn:cts:TraveLab:BT:en:Adler:token:158.1	The
urn:cts:TraveLab:BT:en:Adler:token:158.2	Jews
urn:cts:TraveLab:BT:en:Adler:token:158.3	replied
urn:cts:TraveLab:BT:en:Adler:token:158.4	,
urn:cts:TraveLab:BT:en:Adler:token:158.5	We
urn:cts:TraveLab:BT:en:Adler:token:158.6	are
urn:cts:TraveLab:BT:en:Adler:token:158.7	afraid
urn:cts:TraveLab:BT:en:Adler:token:158.8	.
urn:cts:TraveLab:BT:en:Adler:token:159.1	But
urn:cts:TraveLab:BT:en:Adler:token:159.2	the
urn:cts:TraveLab:BT:en:Adler:token:159.3	king
urn:cts:TraveLab:BT:en:Adler:token:159.4	said
urn:cts:TraveLab:BT:en:Adler:token:159.5	,
urn:cts:TraveLab:BT:en:Adler:token:159.6	If
urn:cts:TraveLab:BT:en:Adler:token:159.7	you
urn:cts:TraveLab:BT:en:Adler:token:159.8	keep
urn:cts:TraveLab:BT:en:Adler:token:159.9	the
urn:cts:TraveLab:BT:en:Adler:token:159.10	law
urn:cts:TraveLab:BT:en:Adler:token:159.11	of
urn:cts:TraveLab:BT:en:Adler:token:159.12	Baruch
urn:cts:TraveLab:BT:en:Adler:token:159.13	,
urn:cts:TraveLab:BT:en:Adler:token:159.14	son
urn:cts:TraveLab:BT:en:Adler:token:159.15	of
urn:cts:TraveLab:BT:en:Adler:token:159.16	Neriah
urn:cts:TraveLab:BT:en:Adler:token:159.17	,
urn:cts:TraveLab:BT:en:Adler:token:159.18	he
urn:cts:TraveLab:BT:en:Adler:token:159.19	will
urn:cts:TraveLab:BT:en:Adler:token:159.20	not
urn:cts:TraveLab:BT:en:Adler:token:159.21	hurt
urn:cts:TraveLab:BT:en:Adler:token:159.22	you
urn:cts:TraveLab:BT:en:Adler:token:159.23	,
urn:cts:TraveLab:BT:en:Adler:token:159.24	for
urn:cts:TraveLab:BT:en:Adler:token:159.25	every
urn:cts:TraveLab:BT:en:Adler:token:159.26	Ishmaelite
urn:cts:TraveLab:BT:en:Adler:token:159.27	that
urn:cts:TraveLab:BT:en:Adler:token:159.28	dug
urn:cts:TraveLab:BT:en:Adler:token:159.29	fell
urn:cts:TraveLab:BT:en:Adler:token:159.30	down
urn:cts:TraveLab:BT:en:Adler:token:159.31	dead
urn:cts:TraveLab:BT:en:Adler:token:159.32	.
urn:cts:TraveLab:BT:en:Adler:token:160.1	Then
urn:cts:TraveLab:BT:en:Adler:token:160.2	Rabbi
urn:cts:TraveLab:BT:en:Adler:token:160.3	Shelomoh
urn:cts:TraveLab:BT:en:Adler:token:160.4	said
urn:cts:TraveLab:BT:en:Adler:token:160.5	,
urn:cts:TraveLab:BT:en:Adler:token:160.6	Give
urn:cts:TraveLab:BT:en:Adler:token:160.7	us
urn:cts:TraveLab:BT:en:Adler:token:160.8	time
urn:cts:TraveLab:BT:en:Adler:token:160.9	,
urn:cts:TraveLab:BT:en:Adler:token:160.10	three
urn:cts:TraveLab:BT:en:Adler:token:160.11	days
urn:cts:TraveLab:BT:en:Adler:token:160.12	,
urn:cts:TraveLab:BT:en:Adler:token:160.13	that
urn:cts:TraveLab:BT:en:Adler:token:160.14	we
urn:cts:TraveLab:BT:en:Adler:token:160.15	may
urn:cts:TraveLab:BT:en:Adler:token:160.16	fast
urn:cts:TraveLab:BT:en:Adler:token:160.17	in
urn:cts:TraveLab:BT:en:Adler:token:160.18	order
urn:cts:TraveLab:BT:en:Adler:token:160.19	to
urn:cts:TraveLab:BT:en:Adler:token:160.20	obtain
urn:cts:TraveLab:BT:en:Adler:token:160.21	his
urn:cts:TraveLab:BT:en:Adler:token:160.22	pardon
urn:cts:TraveLab:BT:en:Adler:token:160.23	.
urn:cts:TraveLab:BT:en:Adler:token:161.1	After
urn:cts:TraveLab:BT:en:Adler:token:161.2	three
urn:cts:TraveLab:BT:en:Adler:token:161.3	days
urn:cts:TraveLab:BT:en:Adler:token:161.4	the
urn:cts:TraveLab:BT:en:Adler:token:161.5	Jews
urn:cts:TraveLab:BT:en:Adler:token:161.6	dug
urn:cts:TraveLab:BT:en:Adler:token:161.7	,
urn:cts:TraveLab:BT:en:Adler:token:161.8	and
urn:cts:TraveLab:BT:en:Adler:token:161.9	were
urn:cts:TraveLab:BT:en:Adler:token:161.10	not
urn:cts:TraveLab:BT:en:Adler:token:161.11	hurt
urn:cts:TraveLab:BT:en:Adler:token:161.12	.
urn:cts:TraveLab:BT:en:Adler:token:162.1	The
urn:cts:TraveLab:BT:en:Adler:token:162.2	coffin
urn:cts:TraveLab:BT:en:Adler:token:162.3	of
urn:cts:TraveLab:BT:en:Adler:token:162.4	Baruch
urn:cts:TraveLab:BT:en:Adler:token:162.5	,
urn:cts:TraveLab:BT:en:Adler:token:162.6	son
urn:cts:TraveLab:BT:en:Adler:token:162.7	of
urn:cts:TraveLab:BT:en:Adler:token:162.8	Neriah
urn:cts:TraveLab:BT:en:Adler:token:162.9	,
urn:cts:TraveLab:BT:en:Adler:token:162.10	was
urn:cts:TraveLab:BT:en:Adler:token:162.11	between
urn:cts:TraveLab:BT:en:Adler:token:162.12	two
urn:cts:TraveLab:BT:en:Adler:token:162.13	marble
urn:cts:TraveLab:BT:en:Adler:token:162.14	stones
urn:cts:TraveLab:BT:en:Adler:token:162.15	,
urn:cts:TraveLab:BT:en:Adler:token:162.16	he
urn:cts:TraveLab:BT:en:Adler:token:162.17	being
urn:cts:TraveLab:BT:en:Adler:token:162.18	between
urn:cts:TraveLab:BT:en:Adler:token:162.19	the
urn:cts:TraveLab:BT:en:Adler:token:162.20	two
urn:cts:TraveLab:BT:en:Adler:token:162.21	.
urn:cts:TraveLab:BT:en:Adler:token:163.1	A
urn:cts:TraveLab:BT:en:Adler:token:163.2	portion
urn:cts:TraveLab:BT:en:Adler:token:163.3	of
urn:cts:TraveLab:BT:en:Adler:token:163.4	his
urn:cts:TraveLab:BT:en:Adler:token:163.5	praying
urn:cts:TraveLab:BT:en:Adler:token:163.6	scarf
	42
urn:cts:TraveLab:BT:en:Adler:token:163.8	protruded
urn:cts:TraveLab:BT:en:Adler:token:163.9	between
urn:cts:TraveLab:BT:en:Adler:token:163.10	the
urn:cts:TraveLab:BT:en:Adler:token:163.11	stones
urn:cts:TraveLab:BT:en:Adler:token:163.12	.
urn:cts:TraveLab:BT:en:Adler:token:164.1	The
urn:cts:TraveLab:BT:en:Adler:token:164.2	king
urn:cts:TraveLab:BT:en:Adler:token:164.3	said
urn:cts:TraveLab:BT:en:Adler:token:164.4	,
urn:cts:TraveLab:BT:en:Adler:token:164.5	No
urn:cts:TraveLab:BT:en:Adler:token:164.6	two
urn:cts:TraveLab:BT:en:Adler:token:164.7	kings
urn:cts:TraveLab:BT:en:Adler:token:164.8	make
urn:cts:TraveLab:BT:en:Adler:token:164.9	use
urn:cts:TraveLab:BT:en:Adler:token:164.10	of
urn:cts:TraveLab:BT:en:Adler:token:164.11	the
urn:cts:TraveLab:BT:en:Adler:token:164.12	same
urn:cts:TraveLab:BT:en:Adler:token:164.13	crown
urn:cts:TraveLab:BT:en:Adler:token:164.14	.
urn:cts:TraveLab:BT:en:Adler:token:164.15	43
urn:cts:TraveLab:BT:en:Adler:token:165.1	It
